id,pacer_court_id,pacer_has_rss_feed,pacer_rss_entry_types,date_last_pacer_contact,fjc_court_id,date_modified,in_use,has_opinion_scraper,has_oral_argument_scraper,position,citation_string,short_name,full_name,url,start_date,end_date,jurisdiction,notes,parent_court_id
"gasd","57","f","",,"3J","2023-10-03 01:23:43.999246+00","t","f","f","208.62","S.D. Ga.","S.D. Georgia","District Court, S.D. Georgia","http://www.gasd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"hid","61","t","cmp,order,order-cr",,"75","2023-10-03 01:23:44.014963+00","t","f","f","208.9","D. Haw.","D. Hawaii","District Court, D. Hawaii","http://www.hid.uscourts.gov/",,,"FD","Lawbox","usdistct"
"idd","63","t","allx,motion",,"76","2023-10-03 01:23:44.031339+00","t","f","f","209","D. Idaho","D. Idaho","District Court, D. Idaho","http://www.id.uscourts.gov/",,,"FD","lawbox","usdistct"
"ilcd","65","t","all",,"53","2023-10-03 01:23:44.047131+00","t","f","f","209.5","C.D. Ill.","C.D. Illinois","District Court, C.D. Illinois","http://www.ilcd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ilnd","67","t","order,order-cr,motion,cmp",,"52","2023-10-03 01:23:44.060871+00","t","f","f","210","N.D. Ill.","N.D. Illinois","District Court, N.D. Illinois","http://www.ilnd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ilsd","69","t","motion,order,order-cr,cmp,charge-cr",,"54","2023-10-03 01:23:44.0792+00","t","f","f","210.1","S.D. Ill.","S.D. Illinois","District Court, S.D. Illinois","http://www.ilsd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"illinoised",,,"",,"","2023-10-03 01:23:44.09311+00","t","f","f","210.5","E.D. Ill.","E.D. Illinois","District Court, E.D. Illinois","https://en.wikipedia.org/wiki/United_States_District_Court_for_the_Eastern_District_of_Illinois","1905-03-03","1978-10-02","FD","Lawbox","usdistct"
"illinoisd",,,"",,"","2023-10-03 01:23:44.103182+00","t","f","f","210.6","D. Ill.","D. Illinois","District Court, D. Illinois","http://www.uscourts.gov/","1819-03-03","1855-02-13","FD","Lawbox","usdistct"
"innd","71","t","all",,"55","2023-10-03 01:23:44.11754+00","t","f","f","211","N.D. Ind.","N.D. Indiana","District Court, N.D. Indiana","http://www.innd.uscourts.gov/","1928-04-21",,"FD","Lawbox

Start date from: https://twitter.com/FedJudicialHist/status/855474313113333761/photo/1","usdistct"
"indianad",,,"",,"","2023-10-03 01:23:44.143451+00","t","f","f","214","D. Ind.","D. Indiana","District Court, D. Indiana","http://www.insd.uscourts.gov/","1817-03-03","1928-04-21","FD","Lawbox","usdistct"
"iand","75","t","motion",,"62","2023-10-03 01:23:44.171939+00","t","f","f","215","N.D. Iowa","N.D. Iowa","District Court, N.D. Iowa","http://www.iand.uscourts.gov/",,,"FD","Lawbox","usdistct"
"iasd","77","t","all",,"63","2023-10-03 01:23:44.178159+00","t","f","f","216","S.D. Iowa","S.D. Iowa","District Court, S.D. Iowa","http://www.iasd.uscourts.gov/",,,"FD","Lawbox","usdistct"
"ksd","79","t","all",,"83","2023-10-03 01:23:44.184857+00","t","f","f","228","D. Kan.","D. Kansas","District Court, D. Kansas","http://www.ksd.uscourts.gov/",,,"FD","Lawbox","usdistct"
